,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISBSG dataÿ       Release               February 2015,6760 rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rating,Rating,Software Age,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Sizing,Sizing,Sizing,Sizing,Effort,Effort,Effort,Productivity,Productivity,Productivity,Other Metrics,Other Metrics,Other Metrics,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Quality Delivered,Quality Delivered,Quality Delivered,Quality Delivered,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Architecture,Architecture,Architecture,Architecture,Architecture,Architecture,Architecture,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,Project Attributes,Project Attributes,Project Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Other Size,Other Size,Other Size
10139,B,A,1999,,,Business Application,Transaction/Production System;,Enhancement,MF,3GL,COBOL,IFPUG 4+,80,S,90,1.12,3199,3199,2879,40.0,40.0,32.0,,5.8,1.7,13.7,0.00,16-May-1999,,,153,,1961,510,255,0,,,,,,,,,,,,No,,Multi-tier,No,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.0,IFPUG 4.0;,,Mainframe 50%;Midrange 20%;PC 30%;,MVS COBOL;,MVS;,,,DB2;,,,,,,,,,,,,,No,Yes,Developed In-house;,,,,,,,,Staff hours (recorded),1,3-4,3.5,,,,,,,,,80,0,0,,,,,,,
10143,A,A,1998,Government,Public Administration;Community Services;Insurance;,Business Application,Electronic Data Interchange;,New Development,MF,3GL,COBOL,IFPUG 4+,243,M1,250,1.03,2924,3249,2924,12.0,13.4,11.7,8.2,30.4,3.8,8.0,,Jul-1998,Specification;Build;Test;Implement;,,,,,1682,,1242,,2,,2,Insurance;,,,,,,,,,Client server,Yes,,,LAN Based;,Presentation & Logic on server;,,,Data Modelling;Process Modelling;,,,,,,,,,,,,,,,,,,Manual supported by a tool;,IFPUG 4.0,IFPUG 4.0;,Combined all tables into a single file;,IBM 390;,COBOL;,MVS;,,Viasoft Debugging;,DB2;,,,,,,,,,,,,,Yes,Yes,Developed In-house;,1,7,,,In-house for external business unit;,,,'Productive' time only (recorded),1,5-8,8,3,70%,Missing 30% For support and Business Users,,,,,,,,,,,,,,,
10145,B,B,2011,Manufacturing,Manufacturing;,Mathematically Intensive Application,Computing of the thermodynamic process;,Enhancement,MR,4GL,MATLAB,IFPUG 4+,99,S,99,,,870,800,,8.8,8.1,0.0,11.0,,9.0,,05-Feb-2011,Specification;Design;Build;Test;Implement;,,,,,,,,,,,0,"Product, Process & Design;",,,,,,,Yes,0%,Stand alone,No,,,Stand alone;,,,,,,,,,,,Budget;Project Schedule;Proposal/Tender;,Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;,,,,Source Code/Objects;Database Objects;,Unit Testing;Software Integration;,Test Plans/Designs;Incident/Defect Lists;Test Data;,,,,Wholly manual;,Addendum to existing standards,IFPUG 4.1;Addendum to existing standards;,,,MATLAB;,Unix;,,,MATLAB;,,,,,,,,,,,,,,Yes,Developed In-house;,,,,,In House;Medium relationship;,,,Staff hours (recorded),,,,,,,,,,,,,,,,,,,,,
10149,B,B,2012,Communication,Telecommunications;,Mathematically intensive application,Customer relationship management;,Enhancement,Multi,3GL,PL/SQL,IFPUG 4+,244,M1,244,,468,468,468,1.9,1.9,1.9,,55.5,,4.4,,07-May-2012,,,,,,,,468,,,,,,,,,,,,,,Multi-tier,,,,,,,Waterfall (incl Linear Processing & SSADM);,Business Area Modelling;Data Modelling;Object Oriented;Prototyping;,,,,,,Yes,,,,,,,,,,,,,IFPUG 4.3,IFPUG 4.3.1;,,,PL/SQL;,,,,,,,,,,,,,,,,,,,,,,,,Outsourced;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10151,B,A,1994,Banking,Banking;,Business Application,Transaction/Production System;,New Development,MF,4GL,EASYTRIEVE,IFPUG 4+,174,M1,174,1.00,2288,2288,1876,13.1,13.1,10.8,,24.9,12.4,7.0,0.00,May-1994,,90,720,,1043,,23,0,,,,,Banking;,,,,,,,No,,,Don't Know,,,,,,,Data Modelling;,,,,,,,,,,,,,,,,,,Manual supported by a tool;,IFPUG 4,IFPUG 4;,Counted each table as a logical file;,IBM 3090;,COBOL;EASYTRIEVE;,MVS ESA;,,No,IMS;,,,,,,,,,,,,,Yes,Yes,Combined Developed/Purchased;,2,5,,5,In-house for internal business unit;,,,Staff hours (recorded),1,2,2,1,,,54,82,19,14,5,174,,,,,,,,,
10154,B,A,1999,Insurance,Insurance;,Business Application,Financial transaction process/accounting;,New Development,MF,3GL,COBOL,IFPUG 4+,152,M1,152,,2569,2569,2389,16.9,16.9,15.7,,38.0,,4.0,0.00,31-Jul-1999,Planning;Specification;Build;Test;,,,,,,,2389,,,,,Don't Know;,,,,,,,No,,,Don't Know,,,,,,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,Addendum to existing standards,Addendum to existing standards;,Don't Know;,MF;,COBOL II;,MVS;,,,IMS;,,,,,,,,,,,,,No,Don't Know,,,,,,,,,Staff hours (derived),1,,,,100%,under 5%,24,32,19,21,56,152,,,,,,,,,
10159,B,A,2000,Banking,Banking;,Business Application,Financial transaction process/accounting;,Enhancement,MF,3GL,PL/I,IFPUG 4+,4,XXS,4,,145,145,109,36.3,36.3,27.3,,40.0,,0.10,0.00,09-Nov-2000,Planning;Specification;Build;,,,,,,,109,,,,,Don't Know;,,,,,,,No,,,Don't Know,,,,,,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,Addendum to existing standards,Addendum to existing standards;,Don't Know;,MF;,PL/I;,MVS ESA;,,,"IMS/DB,DC;",,,,,,,,,,,,,No,Don't Know,,,,,,,,,Staff hours (recorded),1,,,,100%,Unable to estimate,0,4,0,0,0,0,4,0,,,,,,,
10163,A,A,1994,Manufacturing,Manufacturing;Transport & Storage;,Business Application,Transaction/Production System;,New Development,MF,ApG,TELON,Mark II,55,S,48,0.865,503,648,648,9.1,11.8,13.5,18.2,9.2,2.3,6.0,,Feb-1994,,,,,,,,503,0,1,0,1,Accounting;,,,,,,,No,,Stand alone,No,,,,,,,Data Modelling;Event Modelling;Process Modelling;Code inspections; walkthroughs; reviews;,,,,,,,,,,,,,,,,,,Wholly manual;,Symons Mark II,Symons Mark II;,Combined all tables into a single file;,IBM 3090;,TELON/COBOL;,MVS;,,,DB2;,,,,,,,,,,,,,Yes,Yes,Combined Developed/Purchased;,1,1,,2-5,In-house for internal business unit;,,,Weekly recording of hours spent by each IS development staff,4,3-4,4,,80%,,5.8,12.74,,36.52,,55.06,,,,,,,,,
10164,B,A,2004,,,,MS Billing;,Enhancement,,3GL,COBOL,IFPUG 4+,68,S,82,1.20,12702,12702,12702,186.8,186.8,154.9,,,,,,,,,,,,,,12702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,,COBOL II;,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10171,B,B,2005,Insurance,Insurance;,,,Enhancement,MF,3GL,PL/I,FiSMA,140,M1,,,1000,1000,1000,7.1,7.1,7.1,,,,7.0,,21-Jan-2005,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,Waterfall (includes Linear Processing);,SRM model;System testing;,,,,,,,,,,,,,,,,,,Automated by a tool;,FiSMA,FiSMA;,,Mainframe;,PL/I;,,,,,,,,,,,,,,,,,,Yes,,,,6 - 50,,Outsourced for internal business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10172,B,B,2005,Manufacturing,Manufacturing;,,,Enhancement,Multi,3GL,C++,FiSMA,135,M1,,,499,499,499,3.7,3.7,3.7,,,,9.0,0.27,14-Nov-2005,,,,,,,,499,,,,,,,,,,,,,,,,,,,,,,Object Oriented;Pair Testing;Effort estimates;Reviews;Risk analysis;SAP R/3;System testing;Test planning;Development model;,,,,,,,,,,,,,,,,,,Automated by a tool;,FiSMA,FiSMA;,,Multi Platform;,C++;,,,,,,,,,,,,,,,,,,Yes,,,,1,,Outsourced for internal business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10173,B,B,2004,,,Business Application,Financial application area;,Enhancement,Multi,3GL,Java,IFPUG 4+,25,XS,25,,118,118,118,4.7,4.7,4.7,0.0,25.0,,1.0,,prior to Feb-2004,,,,,,,,118,,,,0,,,,,,,,,,Multi-tier with web public interface,,,,,Web;,Web,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,Web;,Java / J2EE;,,,,Interactive;,,,,Average Complexity;,,,,,,,,,,Yes,Traditional;,,,,,,,,Staff hours (derived),1,,,,,,,,,,,,,,,,,,,,
10174,B,A,2000,,,,,New Development,,4GL,Spreadsheet,IFPUG 4+,582,M2,582,1.00,2632,2632,2632,4.5,4.5,4.5,,97.0,13.9,6.0,0.00,Jan-2000,,,,,,,,2632,,,,,,,,,,,,Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wholly manual;,CPM4.0;Addendum to existing standards;,CPM4.0;Addendum to existing standards;,Don't Know;,,Spread sheet;,,,,,,,,,,,,,,,,,Yes,Don't Know,,,,,,,,,Staff hours (recorded),1,5-8,7,,,,,,,,,,,,,,,,"6,800",,
10176,B,C,2004,Financial,"Financial, Property & Business Services;",Business Application,Financial transaction process/accounting;Client Server;,Enhancement,Multi,4GL,,IFPUG 4+,,XS,14,,81,81,81,,,5.8,,,,1.9,0.00,18-Jun-2004,,,,,,,,81,,,,,,,,,,,,,,Client server,Yes,,,,Client Server;,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,Code data not counted;,Client/server;,4GL;,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10178,A,,2005,Medical & Health Care,Medical and Health Care;,Business Application,Catalogue/register of things or events;Document management;Online analysis and reporting;Workflow support & management;Complex process control;,New Development,Multi,3GL,Java,COSMIC,826,M2,,,2503,2503,2503,3.0,3.0,3.0,,18.8,4.7,44.0,0.00,05-Feb-2005,Planning;Specification;Design;Build;Test;Implement;,125,250,375,1300,260,193,0,,,,,,,,,,,,,,Client server,Yes,Run a computer-human interface;Data entry & validation;Web/HTML browser;,Database server;HTML/web server;Mail server;Security/authentication;,,,Web,,,,,,,,,Business Case;Feasibility Study;Project Schedule;Resource Plan;Risk Analysis;Software Development Plan;Vision/Objectives;,Requirements Specification;Functional Specification;System Analysis Report;User Manual;User Interface Prototype;Logical Data/ER Model;Use Case Model;,Specification Review;,Technical Specification;User Interface Prototype;Graphical Look & Feel;Component Designs;,Unified Modelling Language (UML);Design Review/Inspection;,Source Code/Objects;Graphics Items/Images;Information/Text Content;Unit Test Plans/Designs;Integration Scripts/Checklist;,Unit Testing;Code Review/Inspection;Software Integration;System Integration;,None;,"Create & Run Automated Testing;Performance, Stress or Load Testing;",Installation Procedures;Release Description/Notes;Installation Software Utility;Incident/Defect Lists;End user Manual or Help;End user Training Material;Data Establishment Process;,Prepare for Delivery/Installation;Acceptance/Beta Testing;Provide User Training;Provide User Support;,Wholly manual;,COSMIC 2.0,COSMIC 2.0;,,,Java;,Windows;,,Yes,Yes,Yes,Yes,,,,,,No,No,No,No,,,Yes,Developed In-house;,,5,1,30,"Customer & users 1 org, team in another;",,,Recorded total hours each day or week,1,3-4,4,2.7,80%,,,,,,,826,,,232,287,197,110,,,
10180,B,A,2001,Insurance,Insurance;,Business Application,Financial transaction process/accounting;,New Development,PC,4GL,Visual Basic,IFPUG 4+,309,M2,309,,2516,2516,2340,8.1,8.1,7.6,,103.0,,3.0,0.00,30-Jun-2001,Planning;Specification;Build;Test;,,,,,,,2340,,,,,Don't Know;,,,,,,,No,,,,,,,Web;,Web,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,Addendum to existing standards,Addendum to existing standards;,Don't Know;,PC;,VB6.0;,Windows 2000;,,,SQL Server;,,,,,,,,,,,,,No,Don't Know,,,,,,,,,Staff hours (recorded),1,,,,100%,under 5%,33,42,62,109,63,309,,,,,,,,,
10181,B,B,1998,Communication,Communications;,Business Application,Transaction/Production System;,Enhancement,PC,ApG,COOL:Gen,NESMA,338,M2,338,,1009,1009,646,3.0,3.0,1.9,,135.2,,2.5,0.00,Jan-1998,Build;Test;,0,0,,,,0,646,,,,,Telecommunications;,,,,,,,No,,Client server,Yes,,,Unix;,"Client: presentation, processing;",,,,,,,,,,,,,,,,,,,,,Wholly manual;,NESMA,NESMA;,Combined all tables into a single file;,IBM;COMPAQ;,COOL:Gen;,MVS;OS/2;,,,,,,,,,,,,,,,,Yes,,,,,,,In-house for internal business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,"5,200",Unable to estimate;,
10184,B,B,2012,Medical & Health Care,Medical and Health Care;,,not recorded;,Enhancement,,,,IFPUG 4+,13,XS,13,,2565,2565,2565,197.3,197.3,197.3,,0.9,0.0,15.0,,04-Jun-2012,Planning;Specification;Design;Build;Test;Implement;Proj Management;,58,7,369,1106,604,92,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff hours (recorded),1,21-30,28,,,,,,,,,,,,,,,,,,
10189,A,A,1996,Insurance,Insurance;,,,Enhancement,MF,3GL,COBOL,IFPUG old,250,M1,260,1.04,,4150,4150,,16.6,16.0,,14.7,,17.0,0.00,Oct-1996,Planning;Specification;Build;Test;Implement;,,,,,,,,,,,,,,,,,,,No,,Stand alone,No,,,,,,Joint Application Development (JAD);Multifunctional Teams;,Regression Testing;,Yes,,,,,,,,,,,,,,,,,Wholly manual;,IFPUG 3;IFPUG 4;,IFPUG 3;IFPUG 4;,Input;,IBM MAINFRAME;,COBOL II;,MVS;,,Expediter;,DB2;,,,,,,,,,,,,,No,Yes,Developed In-house;,1,1,,,In-house for internal business unit;,,,'Productive' time only (recorded),2,,,,,,9,4,3,193,41,51,138,61,,,,,,,
10196,B,A,2003,,,,,New Development,,3GL,Java,IFPUG 4+,69,S,66,0.95,2915,2915,2915,42.2,42.2,44.2,,7.7,,9.0,,,,,,,,,,2915,,,,,,,,,,,,,,Client server,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.1,IFPUG 4.1;,,Client/server;,Java;SQL;,Client/server;,,,Interactive;,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10200,A,A,2009,Electronics & Computers,Computers & Software;,Business Application,"Job, case, incident, project management;",Enhancement,Multi,3GL,Java,IFPUG 4+,90,S,90,1.00,1112,1112,1112,12.4,12.4,12.4,,22.5,5.6,4.0,0.00,10-Mar-2009,Planning;Specification;Design;Build;Test;Implement;Proj Management;,,,,,,,1112,,,,,,,CMMI Level 2,,,,,,,Client server,Yes,Web/HTML browser;,Database server;,,,,Waterfall (includes Linear Processing);,,,,,,,,Budget;Project Schedule;Quality Plan;Resource Plan;Risk Analysis;Project Mgt Plan;Software Development Plan;,Requirements Specification;User Interface Prototype;,,Technical Specification;User Interface Prototype;,,Source Code/Objects;,Unit Testing;Code Review/Inspection;System Integration;,Test Plans/Designs;Test Data;,Manual Testing;,Release Description/Notes;End user Manual or Help;Service letters;,,Manual supported by a tool;,IFPUG 4.2,IFPUG 4.2;,IFPUG rules;,,Java;,Windows;,EP Portal;,,,,,Yes,,,ABAP;,No,No,No,No,No,,No,Yes,Combined Developed/Purchased;,,,,,"Customer, users, team in different orgs;",,,Recorded work on project tasks each day,1,3-4,4,,,,33,0,33,24,0,44,46,0,,,,,,,
10203,D,A,1999,,,Business Application,Transaction/Production System;,Enhancement,MF,3GL,COBOL,IFPUG 4+,80,S,90,1.12,3199,3199,2879,40.0,40.0,32.0,,5.8,1.7,13.7,0.00,16-May-1999,,,153,,1961,510,255,0,,,,,,,,,,,,No,,Multi-tier,No,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.0,IFPUG 4.0;,,Mainframe 50%;Midrange 20%;PC 30%;,MVS COBOL;,MVS;,,,DB2;,,,,,,,,,,,,,No,Yes,Developed In-house;,,,,,,,,Staff hours (recorded),1,3-4,3.5,,,,,,,,,,,,,,,,,,
10205,D,A,2007,Electronics & Computers,Computers & Software;,,,Enhancement,PC,4GL,ABAP,IFPUG 4+,71,S,69,0.97,2035,2035,2035,28.7,28.7,29.5,,11.8,0.8,6.0,,20-Sep-2007,,0,279,117,1202,160,276,1,,,,,,,,,,,,,,Client server,Yes,,,,,,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,Unit Testing;,,Integration Testing;,,,,IFPUG 4.2,IFPUG 4.2;,,COE LAN;,ABAP;,DOS;,,,Yes,,,,,,,,,,,,,,,,,,10,,,,,Staff hours (recorded),1,9-14,14,,,,,,,,,,,,,,,,,,
10214,B,B,2000,Insurance,Insurance;,,,New Development,,3GL,Visual Basic,FiSMA,261,M1,,,2175,2175,2175,8.3,8.3,8.3,,,,6.0,1.0,14-Dec-2000,,,,,,,,2175,,,,,,,,,,,,,,,,,,,,,,Prototyping;Reviews;Development model;,,,,,,Yes,,,,,,,,,,,,Automated by a tool;,FiSMA,FiSMA;,,,Visual Basic;,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10218,A,A,1995,Utilities,"Electricity, Gas, Water;",Business Application,Management Information System;,New Development,MF,3GL,PL/I,IFPUG 4+,163,M1,152,0.93,668,668,668,4.1,4.1,4.4,18.4,18.1,6.0,9.0,3.0,Sep-1995,,,,,,,,668,,3,,3,Inventory;,,,,,,,No,,Stand alone,No,,,,,,,,,,,,,,,,,,,,,,,,,Manual supported by a tool;,IFPUG 4,IFPUG 4;Addendum to existing standards;,Counted each table as a logical file;,IBM AMDAHL;,PL/I CLISTS;,MVS;,,Yes,DB2;,,,,dialog manager;,,,,,,,,,,Yes,Developed In-house;,<15,4,,50,In-house for internal business unit;,,,Staff hours (recorded),1,3-4,3,,,,25,33,28,42,35,163,,,,,,,,,
10220,A,A,2007,Electronics & Computers,Computers & Software;,,,Enhancement,PC,3GL,Visual Basic,IFPUG 4+,40,S,36,0.90,514,514,514,12.9,12.9,14.3,25.0,10.0,3.3,4.0,,06-Sep-2007,,25,24,40,224,34,166,1,1,,,1,,,,,,,,,,Client server,Yes,,,,,,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,Unit Testing;,,Integration Testing;,,,,IFPUG 4.2,IFPUG 4.2;,,COE LAN;,VISUAL BASIC;,Windows;,,,DB2;,,,,,,,,,,,,,,,,,,4,,,,,Staff hours (recorded),1,3-4,3,,,,,,,,,,,,,,,,,,
10223,B,B,2004,,,,,Enhancement,MF,3GL,COBOL,IFPUG 4+,16,XS,16,1.00,536,536,536,33.5,33.5,33.5,,4.3,,3.7,,10-Jun-2004,From Feasibility to Implementation;,,,,,,,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.0,IFPUG 4.0;,,Mainframe;,COBOL;,,,,,,,,,,,,,,,,,,,,,,,,,,,Recorded hours on each project/day/week,1,,,,,,,,,,,,,,,,,,,,
10225,B,B,1999,Insurance,Insurance;,,,New Development,MF,3GL,PL/I,FiSMA,442,M2,,,3772,3772,3772,8.5,8.5,8.5,,,,6.0,0.00,17-Mar-1999,,,,,,,,3772,,,,,,,,,,,,,,,,,,,,,,Pair Testing;Reviews;Test planning;,,,,,,,,,,,,,,,,,,Automated by a tool;,FiSMA,FiSMA;,,Mainframe;,PL/I;,,,,,,,,,,,,,,,,,,Yes,,,,1,,Outsourced for internal business unit;,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10228,B,C,2006,,,Business Application,Financial transaction process/accounting;,New Development,Multi,4GL,.Net,IFPUG 4+,,S,78,,263,263,263,,,3.4,,,,2.7,,2006,,,,,,,,263,,,,1,,,,,,,,,,,,,,,,Web,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,Count does not include points for code tables;,,.Net;,,,,Interactive;,,,,Web e-bus;,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10232,B,A,2002,Financial,"Financial, Property & Business Services;",Business Application,Financial transaction process/accounting;,Enhancement,,4GL,Visual C++,IFPUG 4+,171,M1,203,1.19,420,420,420,2.5,2.5,2.1,,,,,,Sep-2002,,,,,,,,420,,,,,,,,,,,,,,Stand alone,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.1,IFPUG 4.1;,,Open;,Visual;C++;SQL;,Open;,,,Interactive;,,,,,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10233,A,A,2001,Communication,Communications;,Real-Time Application,Complex process control;,Enhancement,MR,4GL,Visual Basic,IFPUG 4+,226,M1,252,1.12,3901,3901,3238,17.3,17.3,12.8,,56.5,5.7,4.0,,Jan-2001,Specification;Build;Test;,,1338,,978,922,,0,,,,,Telecommunications;,,,,,,,,,Client server,Yes,,,Proprietary Midrange;,Client: presentation; Server: processing;,,,Business Area Modelling;Data Modelling;Event Modelling;Process Modelling;,,,,,,,,,,,,,,,,,,Manual supported by a tool;,IFPUG 4.0 & Addendum to existing standards,Addendum to existing standards;,Combined all tables into a single file;,SUN;,Visual Basic;,SUN;,,,Oracle;,,,,,,,,,,,,,Yes,Yes,Developed In-house;,,,,30,Outsourced for internal business unit;,,,Staff hours (recorded),1,9-14,10,10,100%,,151,28,8,39,0,69,153,4,,,,,,,
10234,B,C,2006,,,Business Application,Financial transaction process/accounting;,Enhancement,Multi,3GL,Java,IFPUG 4+,,M1,186,,292,292,292,,,1.6,,,,3.2,,2006,,,,,,,,292,,,,,,,,,,,,,,,,,,,,Web,Waterfall (includes Linear Processing);,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,Count does not include points for code tables;,,Java / similar;,,,,Interactive;,,,,Web e-bus;,,,,,,,,,,Yes,,,,,,,,,Staff hours (recorded),1,,,,,,,,,,,,,,,,,,,,
10247,B,B,2009,Manufacturing,Manufacturing;,Business Application,Cars selling;,Enhancement,,3GL,Java,IFPUG 4+,215,M1,215,,,2704,2704,,12.6,12.6,18.6,22.6,,9.5,,16-Dec-2009,Specification;Design;Build;Test;Implement;,,,,,,,,,,,4,Sales;,,,,,,,No,,Client server,Yes,,,Client server;,,,,,,,,,,,Budget;Project Schedule;Proposal/Tender;,Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;,,,,Source Code/Objects;Database Objects;,Unit Testing;Software Integration;,Test Plans/Designs;Incident/Defect Lists;Test Data;,,,,Wholly manual;,IFPUG 4.1,IFPUG 4.1;Addendum to existing standards;,,,Java;JEE;,,,,Oracle;,,,,,,,,,,,,,,Yes,Developed In-house;,,,,,"Customer, users & team in same org;Purchased;",,,Staff hours (recorded),3,,,,,,,,,,,,,,,,,,,,
10248,A,A,2012,Communication,Telecommunications;,Business Application,Online analysis and reporting;,Enhancement,PC,3GL,Java,IFPUG 4+,302,M2,293,0.97,5829,5829,4372,19.3,19.3,14.9,0.0,60.4,6.0,5.0,0.00,14-Dec-2012,Planning;Specification;Design;Build;Implement;,365,711,702,2414,,180,0,0,0,0,0,,,CMMI Level 5 v1.3,,"ISO 9002 ISO 9001,  ISO 27001",,,,,Stand alone,No,,Database server;Mail server;Security/authentication;,,,Web,Waterfall (includes Linear Processing);,Object Oriented;Pair Testing;Rational Rose;Test-driven development (TDD);Unified Modelling Language (UML);,,,,,,,Budget;Project Schedule;Proposal/Tender;Quality Plan;Resource Plan;Risk Analysis;Project Mgt Plan;Software Development Plan;,Requirements Specification;Functional Specification;,,Detailed Design Documents;Module/Unit/Class Designs;,Design Review/Inspection;Unified Modelling Language (UML);,Source Code/Objects;,Unit Testing;Code Review/Inspection;,Test Plans/Designs;Test Data;,Manual Testing;Regression Testing;Integration Testing;,Release Description/Notes;,Prepare for Delivery/Installation;,Manual supported by a tool;,IFPUG 4.2,IFPUG 4.2;,Counted each table as a logical file;,,J2EE;eclipse;,Windows;,Yes,,Oracle;,,web logic;,,,,J2EE;,Windows;,Oracle;,,Yes,,,No,Yes,Developed In-house;,,1,750,45,"Customer & users 1 org, team in another;",PC or Microcomputer,,Recorded work on project tasks each day,1,9-14,10,1.8,94%,Less than 5% of recorded effort,148,16,12,126,0,229,56,17,,,,,,,
10249,A,B,2006,Government,Government;,Business Application,Management of Licences and Permits;,Enhancement,MF,ApG,COOL:Gen,IFPUG 4+,16,XS,19,1.20,657,657,598,41.1,41.1,31.5,0.0,1.5,,10.8,,May-2006,,,144,140,98,173,44,-1,0,0,0,0,,,,,,,,,,Stand alone,,,,,,,,,,,,,,,Yes - inhouse;,Yes - inhouse;,,Yes - inhouse;,,Yes - inhouse;,,Yes - inhouse;,,Yes - inhouse;,,,IFPUG 4.2,IFPUG 4.2;,,,COOL:Gen;,,,,,,,,,,,,,,,,,,Yes,,,,,,,MF   (Mainframe),,Staff hours (recorded),1,,,,,,6,5,0,0,5,5,11,0,,,,,,,
10251,B,B,1999,Government,Government;,Business Application,Government;,New Development,PC,4GL,DELPHI,IFPUG 4+,40,S,40,,120,120,120,3.0,3.0,3.0,,57.1,28.6,0.70,,23-Dec-1999,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,Rapid Application Development (RAD);,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,,Delphi;,,,,,,,,,,,,,,,,,,,,,,,,,,,Timesheets,1,2,2,,,,,,,,,40,,,,,,,,,
